Id,Prediction
28718053,1
88066133,1
50200005,1
155325342,1
124413202,1
18340942,1
54436174,1
104680870,1
78075160,1
120475773,1
130435056,1
102952315,1
50719328,1
24500458,1
145973760,1
29185419,1
141441754,1
103261926,1
99259376,1
141822936,1
106086646,1
35942800,1
96691200,1
90213560,1
91534854,1
87273558,1
44905994,1
109201122,1
60245599,1
131808740,1
86686107,1
37350356,1
14626815,1
37521114,1
70860850,1
133824752,1
154613384,1
14549320,1
20123957,1
94541935,1
55688595,1
8737532,1
27190922,1
109799994,1
35676064,1
33157799,1
106822258,1
78912434,1
89905028,1
35269550,1
83427010,1
96685576,1
55453968,1
74698119,1
49460997,1
88973938,1
50942871,1
93058189,1
26937611,1
124319561,1
23159604,1
20468796,1
124506093,1
17848626,1
8619792,1
153280353,1
91011721,1
96059540,1
69578594,1
18260374,1
104005392,1
67047208,1
78849504,1
57283957,1
117183733,1
87195765,1
104585045,1
151847153,1
124434282,1
36710764,1
75254821,1
86747039,1
130814696,1
18278802,1
78847972,1
54200378,1
130816456,1
26572725,1
44868153,1
82511563,1
72672759,1
39630338,1
43275829,1
100827375,1
137027610,1
30832264,1
19563612,1
88164797,1
33304345,1
89795079,1
118097538,1
37912697,1
144519767,1
76724108,1
32885235,1
70884547,1
99144504,1
111189948,1
26001685,1
49961038,1
112981722,1
132333250,1
139644488,1
37176822,1
42144009,1
124898350,1
22675579,1
81812378,1
85487255,1
81550447,1
91833690,1
18929177,1
22184003,1
17980871,1
72614453,1
90141215,1
68732091,1
125389378,1
52055894,1
137563398,1
76661942,1
40889148,1
62042406,1
127014545,1
1069651,1
33438244,1
18857810,1
74879879,1
73145379,1
55306712,1
56058709,1
83348168,1
89651531,1
57840590,1
94675170,1
34467409,1
139587619,1
88174991,1
130998482,1
156507084,1
114685008,1
85943849,1
50992694,1
57856705,1
46321000,1
73865180,1
51244610,1
32967614,1
83481607,1
128537201,1
99356505,1
116582512,1
35719269,1
99708969,1
111900017,1
107968540,1
35617100,1
18756494,1
15585056,1
91556367,1
21657927,1
16527570,1
20800400,1
132864381,1
49541458,1
25379594,1
132909202,1
59464840,1
88619868,1
57052576,1
45307078,1
15359177,1
158808076,1
15051218,1
103285910,1
89891115,1
139588583,1
107986843,1
27398269,1
89856451,1
21967948,1
146349600,1
9800782,1
86228955,1
155259774,1
15221086,1
39085479,1
25454185,1
44406325,1
60871005,1
49842939,1
93990471,1
55490196,1
101777981,1
17489523,1
16876264,1
22340774,1
55576282,1
143388534,1
132354752,1
36244224,1
111883984,1
24185197,1
119532978,1
147376894,1
23874214,1
72245694,1
55617928,1
108286026,1
157926214,1
24258457,1
19079719,1
